model,image,recall,gt_count,pred_count
../../runs/detect/train2/weights/best.pt,game_20251123_dU9tYOKy_00180.jpg,1.0,9,9
../../runs/detect/train2/weights/best.pt,game_20251123_dU9tYOKy_00230.jpg,1.0,8,8
../../runs/detect/train2/weights/best.pt,game_20251123_dU9tYOKy_00240.jpg,1.0,8,8
../../runs/detect/train2/weights/best.pt,game_20251125_7nKDMoXj_00010.jpg,1.0,2,2
../../runs/detect/train2/weights/best.pt,game_20251125_7nKDMoXj_00020.jpg,1.0,2,2
../../runs/detect/train2/weights/best.pt,game_20251125_7nKDMoXj_00050.jpg,1.0,4,4
../../runs/detect/train2/weights/best.pt,game_20251125_7nKDMoXj_00110.jpg,1.0,7,7
../../runs/detect/train2/weights/best.pt,game_20251125_7nKDMoXj_00120.jpg,1.0,7,7
../../runs/detect/train2/weights/best.pt,game_20251125_7nKDMoXj_00130.jpg,1.0,7,7
../../runs/detect/train2/weights/best.pt,game_20251125_7nKDMoXj_00140.jpg,1.0,7,7
../../runs/detect/train2/weights/best.pt,game_20251125_7nKDMoXj_00150.jpg,1.0,7,7
../../runs/detect/train2/weights/best.pt,game_20251125_7nKDMoXj_00160.jpg,1.0,6,6
../../runs/detect/train2/weights/best.pt,game_20251125_7nKDMoXj_00170.jpg,1.0,6,6
../../runs/detect/train2/weights/best.pt,game_20251125_7nKDMoXj_00230.jpg,1.0,7,7
../../runs/detect/train2/weights/best.pt,game_20251125_7nKDMoXj_00250.jpg,1.0,8,8
../../runs/detect/train2/weights/best.pt,game_20251125_7nKDMoXj_00380.jpg,1.0,9,9
../../runs/detect/train2/weights/best.pt,game_20251125_7nKDMoXj_00390.jpg,1.0,8,8
../../runs/detect/train2/weights/best.pt,game_20251125_7nKDMoXj_00400.jpg,1.0,7,7
../../runs/detect/train2/weights/best.pt,game_20251125_7nKDMoXj_00450.jpg,1.0,11,11
../../runs/detect/train2/weights/best.pt,game_20251125_7nKDMoXj_00510.jpg,1.0,13,13
../../runs/detect/train2/weights/best.pt,game_20251125_7nKDMoXj_00530.jpg,1.0,14,14
../../runs/detect/train2/weights/best.pt,game_20251125_7nKDMoXj_00690.jpg,1.0,9,9
../../runs/detect/train2/weights/best.pt,game_20251125_gE-cCnMC_00020.jpg,1.0,2,2
../../runs/detect/train2/weights/best.pt,game_20251125_gE-cCnMC_00030.jpg,1.0,2,2
../../runs/detect/train2/weights/best.pt,game_20251125_gE-cCnMC_00050.jpg,1.0,3,3
../../runs/detect/train2/weights/best.pt,game_20251125_gE-cCnMC_00090.jpg,1.0,8,8
../../runs/detect/train2/weights/best.pt,game_20251125_gE-cCnMC_00100.jpg,1.0,8,8
../../runs/detect/train2/weights/best.pt,game_20251125_gE-cCnMC_00140.jpg,1.0,10,10
../../runs/detect/train2/weights/best.pt,game_20251125_gE-cCnMC_00150.jpg,1.0,10,10
../../runs/detect/train2/weights/best.pt,game_20251125_gE-cCnMC_00290.jpg,1.0,14,14
../../runs/detect/train2/weights/best.pt,game_20251125_gE-cCnMC_00300.jpg,1.0,14,14
../../runs/detect/train2/weights/best.pt,game_20251125_gE-cCnMC_00330.jpg,1.0,11,11
../../runs/detect/train2/weights/best.pt,game_20251125_gE-cCnMC_00420.jpg,1.0,11,11
../../runs/detect/train2/weights/best.pt,game_20251125_gE-cCnMC_00440.jpg,1.0,10,10
../../runs/detect/train2/weights/best.pt,game_20251125_gE-cCnMC_00460.jpg,1.0,7,7
../../runs/detect/train2/weights/best.pt,game_20251125_gE-cCnMC_00500.jpg,1.0,9,9
../../runs/detect/train2/weights/best.pt,game_20251125_gE-cCnMC_00510.jpg,1.0,8,8
../../runs/detect/train2/weights/best.pt,game_20251125_gE-cCnMC_00530.jpg,1.0,12,12
../../runs/detect/train2/weights/best.pt,game_20251125_gE-cCnMC_00550.jpg,1.0,11,11
../../runs/detect/train2/weights/best.pt,game_20251125_gE-cCnMC_00560.jpg,1.0,11,11
../../runs/detect/train2/weights/best.pt,game_20251125_gE-cCnMC_00570.jpg,1.0,10,10
../../runs/detect/train2/weights/best.pt,game_20251125_gE-cCnMC_00580.jpg,1.0,12,12
../../runs/detect/train2/weights/best.pt,game_20251125_gE-cCnMC_00620.jpg,1.0,15,15
../../runs/detect/train2/weights/best.pt,game_20251125_gE-cCnMC_00630.jpg,1.0,16,16
../../runs/detect/train2/weights/best.pt,game_20251125_gE-cCnMC_00640.jpg,1.0,16,17
../../runs/detect/train2/weights/best.pt,game_20251125_gE-cCnMC_00710.jpg,1.0,14,14
../../runs/detect/train2/weights/best.pt,game_20251125_gE-cCnMC_00770.jpg,1.0,14,14
../../runs/detect/train2/weights/best.pt,game_20251125_gE-cCnMC_00780.jpg,1.0,13,14
../../runs/detect/train2/weights/best.pt,game_20251125_gE-cCnMC_00790.jpg,1.0,12,12
../../runs/detect/train2/weights/best.pt,game_20251125_gE-cCnMC_00810.jpg,1.0,12,12
../../runs/detect/train2/weights/best.pt,game_20251125_gE-cCnMC_00830.jpg,1.0,10,10
../../runs/detect/train2/weights/best.pt,game_20251129_55nbwf0n_00010.jpg,1.0,1,1
../../runs/detect/train2/weights/best.pt,game_20251129_55nbwf0n_00020.jpg,1.0,1,1
../../runs/detect/train2/weights/best.pt,game_20251129_55nbwf0n_00030.jpg,1.0,1,1
../../runs/detect/train2/weights/best.pt,game_20251129_55nbwf0n_00040.jpg,1.0,1,1
../../runs/detect/train2/weights/best.pt,game_20251129_55nbwf0n_00050.jpg,1.0,1,1
../../runs/detect/train2/weights/best.pt,game_20251129_55nbwf0n_00060.jpg,1.0,1,1
../../runs/detect/train2/weights/best.pt,game_20251129_55nbwf0n_00070.jpg,1.0,2,2
../../runs/detect/train2/weights/best.pt,game_20251129_55nbwf0n_00080.jpg,1.0,2,2
../../runs/detect/train2/weights/best.pt,game_20251129_55nbwf0n_00090.jpg,1.0,2,2
../../runs/detect/train2/weights/best.pt,game_20251129_55nbwf0n_00100.jpg,1.0,3,3
../../runs/detect/train2/weights/best.pt,game_20251129_55nbwf0n_00110.jpg,1.0,3,3
../../runs/detect/train2/weights/best.pt,game_20251129_55nbwf0n_00120.jpg,1.0,3,3
